Customer_ID,Customer_Name,Gender,Age,Area,Customer_Segment,Loyalty_Tier,Join_Date
C04145,Yashasvi Bahri,Female,38.0,Pratap Nagar,Regular,Silver,2019-07-05
C04290,Manan Loyal,Male,40.0,Raja Park,Regular,Silver,2020-11-06
C02819,Warinder Lanka,Male,25.0,Raja Park,Regular,Gold,2024-07-20
C06031,Pavani Chawla,Female,42.0,Sodala,Wholesale,Platinum,2025-05-19
C01922,Gautam Kade,Male,24.0,Bapu Nagar,Regular,Silver,2023-03-21
C08874,Reva Buch,Female,18.0,Pratap Nagar,Wholesale,Platinum,2021-05-31
C07766,Suhani Ahuja,Female,46.0,Civil Lines,Regular,Silver,2019-02-03
C02191,Ishita Dhawan,Female,41.0,Mansarovar,Regular,Silver,2025-09-08
C10184,Harinakshi Tailor,Female,18.0,Vidyadhar Nagar,Regular,Gold,2021-08-01
C03595,Aditya Krishna,Male,19.0,Ajmer Road,Premium,Gold,2021-10-09
C01913,Riya Tailor,Female,29.0,Jagatpura,Regular,Gold,2020-09-17
C01444,Chandran Munshi,Male,27.0,Bapu Nagar,Premium,Gold,2019-10-01
C10388,Chakradhar Shenoy,Male,47.0,Tonk Road,Regular,Silver,2020-07-15
C07819,Tejas Samra,Male,35.0,Mansarovar,Regular,Gold,2019-03-27
C05808,Balhaar Ramakrishnan,Male,43.0,Jagatpura,Regular,Gold,2018-10-05
C00720,Jai Dass,Male,33.0,Bani Park,Regular,Platinum,2023-01-31
C09903,Manan Goswami,Male,35.0,Tonk Road,Regular,Silver,2019-03-20
C09624,Ekiya Bhasin,Female,18.0,Bapu Nagar,Wholesale,Gold,2018-05-18
C14919,Reyansh Ben,Male,41.0,Malviya Nagar,Regular,Platinum,2024-01-29
C01675,Lipika Buch,Female,55.0,Mansarovar,Regular,Gold,2020-11-16
C00598,Oni Madan,Female,57.0,Sikar Road,Regular,Gold,2025-10-29
C06398,Dalbir Dhawan,Male,38.0,Bapu Nagar,Regular,Gold,2020-05-14
C08851,Simon Agarwal,Male,57.0,Sikar Road,Regular,Gold,2024-10-17
C12903,Madhavi Trivedi,Female,32.0,Civil Lines,Regular,Silver,2023-12-14
C00117,Vedant Nanda,Male,30.0,Durgapura,Regular,Gold,2020-04-16
C02439,Abha Varkey,Female,35.0,Vidyadhar Nagar,Regular,Silver,2023-12-28
C08969,Ronith Seshadri,Male,46.0,Jagatpura,Regular,Gold,2021-08-18
C10050,Tripti Salvi,Female,33.0,Ajmer Road,Premium,Platinum,2019-08-06
C12986,Yauvani Shanker,Female,19.0,Malviya Nagar,Regular,Gold,2019-07-01
C02159,Aditya Ramakrishnan,Male,51.0,Jagatpura,Regular,Gold,2022-08-13
C11196,Aahana Hegde,Female,44.0,Mansarovar,Premium,Gold,2025-02-06
C12570,Simon Raghavan,Male,21.0,Durgapura,Regular,Silver,2019-09-12
C07299,Jagat Biswas,Male,18.0,Shyam Nagar,Regular,Silver,2025-02-19
C12057,Omya Iyer,Female,37.0,Sodala,Regular,Platinum,2019-07-31
C10482,Rachita Virk,Female,40.0,C-Scheme,Regular,Gold,2021-06-28
C05237,Upasna Chacko,Female,18.0,Sodala,Regular,Gold,2022-06-02
C03328,Faraj Andra,Male,28.0,Raja Park,Regular,Silver,2019-05-12
C14762,Harsh Gandhi,Male,35.0,Bani Park,Regular,Gold,2025-06-27
C02930,Deepa Sarna,Female,43.0,Tonk Road,Regular,Gold,2024-10-26
C10105,Yug Saha,Male,71.0,Jagatpura,Regular,Silver,2021-12-04
C09354,Liam Joshi,Male,49.0,Malviya Nagar,Regular,Gold,2022-07-07
C07057,Lipika Narayan,Female,35.0,Civil Lines,Regular,Gold,2019-10-02
C13303,Arjun Kala,Male,45.0,Bapu Nagar,Regular,Gold,2019-04-18
C05942,Azaan Prakash,Male,18.0,Mansarovar,Regular,Silver,2019-07-25
C05230,Leela Toor,Female,43.0,Mansarovar,Regular,Gold,2020-08-11
C12469,Dakshesh Merchant,Male,25.0,Tonk Road,Premium,Silver,2025-10-20
C11549,Rachit Bumb,Male,32.0,Bani Park,Regular,Silver,2025-04-06
C00496,Yug Uppal,Male,18.0,Ajmer Road,Regular,Gold,2023-06-21
C14398,Anay Randhawa,Male,27.0,Durgapura,Premium,Platinum,2020-10-22
C06501,Tarak Nigam,Male,38.0,Bani Park,Wholesale,Platinum,2020-12-08
C12587,Zilmil Ramanathan,Female,61.0,Jagatpura,Regular,Platinum,2018-01-30
C12928,Nandini Jayaraman,Female,22.0,Vaishali Nagar,Premium,Platinum,2023-01-23
C03996,Amruta Morar,Female,55.0,Vidyadhar Nagar,Regular,Silver,2023-07-24
C09921,Bhavya Kannan,Female,39.0,Shyam Nagar,Premium,Platinum,2024-11-10
C00897,Bhavika Pandya,Female,33.0,C-Scheme,Regular,Gold,2023-02-20
C06396,Omaja Gala,Female,33.0,Sodala,Premium,Silver,2020-01-18
C06816,Laban Wagle,Male,39.0,Pratap Nagar,Wholesale,Platinum,2025-08-20
C08701,Urmi Walla,Female,32.0,Durgapura,Regular,Platinum,2022-08-22
C12511,Kritika Thakur,Female,29.0,Jagatpura,Premium,Gold,2025-04-07
C09738,Shravya Mukherjee,Female,45.0,Mansarovar,Regular,Platinum,2018-02-06
C01679,Atharv Merchant,Male,42.0,C-Scheme,Regular,Silver,2019-12-25
C12897,Panini Kapadia,Female,23.0,Durgapura,Regular,Gold,2020-05-08
C01403,Hemal Rama,Female,41.0,Civil Lines,Premium,Gold,2021-09-14
C14529,Nikita Borra,Female,38.0,Vidyadhar Nagar,Regular,Silver,2023-02-23
C12876,Balvan Dyal,Male,43.0,Shyam Nagar,Regular,Silver,2025-04-18
C07681,Krishna Zacharia,Male,54.0,Vidyadhar Nagar,Regular,Silver,2022-01-18
C05409,Rishi Sarkar,Male,37.0,Raja Park,Premium,Silver,2022-10-04
C03279,Radhika Korpal,Female,41.0,Jhotwara,Regular,Gold,2024-03-19
C13728,Ladli Ravi,Female,38.0,Vidyadhar Nagar,Regular,Silver,2020-08-20
C13301,Madhavi Korpal,Female,23.0,Shyam Nagar,Premium,Platinum,2018-09-30
C09682,Ekanta Sampath,Female,52.0,Civil Lines,Regular,Gold,2021-10-19
C05807,Oeshi Golla,Female,42.0,Sikar Road,Regular,Silver,2020-08-05
C11062,Tamanna Mane,Female,24.0,Civil Lines,Regular,Silver,2021-03-25
C00860,Inaya Chana,Female,46.0,Bapu Nagar,Regular,Platinum,2023-07-08
C06145,Chaitanya Sinha,Male,50.0,Jagatpura,Regular,Gold,2022-04-18
C13296,Amaira Vaidya,Female,23.0,Bapu Nagar,Regular,Silver,2019-09-01
C01945,Mohini Hayer,Female,41.0,Pratap Nagar,Regular,Gold,2021-11-25
C03202,Jalsa Shanker,Female,30.0,Civil Lines,Regular,Silver,2024-09-26
C08735,Baljiwan Rajan,Male,40.0,Shyam Nagar,Regular,Silver,2025-11-01
C00308,Upasna Tripathi,Female,25.0,Bapu Nagar,Regular,Silver,2021-11-22
C08719,Luke Bobal,Male,23.0,Vaishali Nagar,Regular,Silver,2024-10-15
C10042,Faqid Bhandari,Male,50.0,Durgapura,Regular,Silver,2021-04-27
C09786,Kai Gade,Male,23.0,Civil Lines,Regular,Gold,2019-01-01
C14267,Sanya Gulati,Female,61.0,Malviya Nagar,Regular,Silver,2023-07-26
C03662,Falguni Varma,Female,40.0,Sodala,Regular,Gold,2024-11-11
C00022,Kashish Narasimhan,Female,31.0,Bapu Nagar,Regular,Gold,2021-07-17
C07061,Luke Nadkarni,Male,38.0,Jagatpura,Premium,Silver,2022-05-17
C14851,Darika Sane,Female,38.0,Ajmer Road,Premium,Gold,2025-02-07
C13758,Gayathri Rao,Female,32.0,C-Scheme,Regular,Silver,2021-06-14
C09206,Fiyaz Munshi,Male,18.0,Civil Lines,Regular,Gold,2023-04-05
C08819,Pushti Raja,Female,28.0,Mansarovar,Regular,Platinum,2022-01-03
C06167,Ikbal Arora,Male,52.0,Sodala,Regular,Gold,2020-07-16
C10501,Falguni Dugar,Female,34.0,Vaishali Nagar,Regular,Gold,2021-03-11
C10146,Chanakya Varghese,Male,22.0,Shyam Nagar,Wholesale,Gold,2022-01-31
C12955,Quincy Menon,Male,42.0,Bapu Nagar,Regular,Gold,2021-08-11
C10240,Madhav Sha,Male,47.0,Jhotwara,Regular,Gold,2021-05-14
C04858,Charvi D’Alia,Female,44.0,Jagatpura,Regular,Silver,2024-02-23
C10272,Fariq Sanghvi,Male,42.0,Durgapura,Regular,Gold,2022-12-09
C12088,Abhimanyu Chahal,Male,38.0,Pratap Nagar,Regular,Gold,2022-06-10
C13544,Hema Yogi,Female,44.0,C-Scheme,Premium,Platinum,2023-10-16
C00235,Yagnesh Khalsa,Male,18.0,Civil Lines,Premium,Gold,2023-04-19
C02037,Leena Tata,Female,35.0,Tonk Road,Regular,Gold,2021-10-25
C13179,Zansi Choudhury,Female,53.0,Jagatpura,Regular,Silver,2024-09-25
C00413,Ryan Patel,Male,39.0,C-Scheme,Regular,Platinum,2018-03-11
C04340,Warda Bal,Female,19.0,Vaishali Nagar,Regular,Silver,2021-08-20
C14083,Patrick Sawhney,Male,43.0,Civil Lines,Regular,Silver,2022-06-20
C02419,Mekhala Iyer,Female,47.0,Sodala,Wholesale,Platinum,2023-09-10
C09403,Abhiram Dey,Male,50.0,Ajmer Road,Regular,Platinum,2025-01-21
C09330,Chanchal Kota,Female,18.0,Sodala,Regular,Gold,2019-03-15
C08868,Advik Murthy,Male,47.0,Bapu Nagar,Regular,Silver,2024-10-12
C01384,Owen Gola,Male,31.0,Sodala,Regular,Silver,2019-01-06
C13175,Dalaja Mammen,Female,51.0,Pratap Nagar,Premium,Platinum,2022-01-29
C14203,Tristan Rau,Male,27.0,Vidyadhar Nagar,Regular,Gold,2022-02-11
C01271,Nidra Minhas,Female,43.0,C-Scheme,Premium,Gold,2019-06-24
C12574,Avni Sangha,Female,34.0,Durgapura,Regular,Gold,2018-03-31
C11378,Bakhshi Som,Male,43.0,Vidyadhar Nagar,Regular,Gold,2019-09-07
C07405,Parth Chowdhury,Male,18.0,Raja Park,Regular,Gold,2018-12-28
C02274,Kai Talwar,Male,30.0,Sodala,Regular,Gold,2025-12-28
C08911,Varenya Ranganathan,Female,50.0,Jagatpura,Regular,Gold,2021-09-09
C11443,Anika Sandal,Female,36.0,Raja Park,Premium,Platinum,2025-01-11
C02863,Bina Dhar,Female,37.0,Sikar Road,Regular,Gold,2018-10-19
C03321,Anjali Barad,Female,45.0,Tonk Road,Regular,Gold,2019-05-01
C12046,Chavvi Kapadia,Female,45.0,Malviya Nagar,Regular,Gold,2025-05-03
C11841,Urishilla Yogi,Female,36.0,Shyam Nagar,Regular,Gold,2018-05-19
C04125,Vasudha Babu,Female,51.0,Bapu Nagar,Regular,Silver,2018-08-05
C02110,Veer Wadhwa,Male,36.0,Tonk Road,Regular,Silver,2018-04-22
C09004,Vasatika Sem,Female,31.0,C-Scheme,Regular,Silver,2024-07-19
C12975,Thomas Butala,Male,43.0,Bapu Nagar,Regular,Silver,2025-08-05
C10393,Samar Murthy,Male,46.0,Pratap Nagar,Regular,Gold,2019-04-02
C07397,Upasna Bal,Female,27.0,Shyam Nagar,Regular,Silver,2020-08-20
C02336,Darika Wali,Female,42.0,Jagatpura,Regular,Gold,2021-09-03
C13240,Pahal Datta,Female,26.0,Raja Park,Regular,Gold,2019-02-27
C02294,Ayush Mannan,Male,37.0,Shyam Nagar,Regular,Silver,2022-01-22
C05312,Leena Balan,Female,23.0,Shyam Nagar,Premium,Gold,2020-09-07
C05795,Mohini Kala,Female,38.0,Civil Lines,Premium,Platinum,2019-07-22
C13052,Lucky Chokshi,Male,31.0,C-Scheme,Regular,Silver,2023-08-16
